id,prioridad,capacidad,entregable,aceptacion,dependencias,estado,estado_2026-09-13
TF13,P4,Adaptacion continua,Candidatos evaluados con canarios y rollback,Transferencia reservada positiva y coste amortizado,TF01;TF08;TF11,Propuesto,Parcial: memory_curator/scorecard/capability_promotion existen por separado; ciclo canario+rollback formal (A26-A30) sin validar
TF14,P5,Instalacion y perfiles,Personal Headless Team documentados,Instalacion limpia primera tarea y actualizacion verificadas,TF02;TF12,Propuesto,No evaluado en este lote: instalacion self-hosted (Docker Compose/nativa) existe; perfiles Headless/Team explicitos no
TF15,P5,Migracion desde el harness de referencia,Importador o guia validada y reporte de perdidas,Proyecto de muestra migra recursos soportados sin secretos planos,TF02;TF08;TF09,Propuesto,No iniciado
TF16,P5,Evidencia y documentacion,Ejemplos externos y resultados publicados,Paridad trazable por fila y ventajas medidas,TF01;TF03;TF13;TF14;TF15,Propuesto,En curso: este lote crea docs/spec/paridad/MATRIZ_PARIDAD.md y ESTADO_ACEPTACION.md como base trazable; faltan ejemplos externos
TF17,P0,Licencia y adopcion,Inventario de procedencia y decision de titulares,Terminos claros para SDK UI e integraciones sin relicenciar codigo ajeno,,Decision pendiente,Decision pendiente del propietario: sin cambios de licencia ni relicencia; ver docs/spec/paridad/MATRIZ_PARIDAD.md fila TF17 y 10_LICENCIA_Y_ADOPCION.md
TF18,P1,Admision de turnos,Validacion y persistencia antes de sustituir predecessor,A01 A02 A03 sin cancelar turno valido por peticion invalida,TF02,Propuesto V2,En curso: A01 (admision sin lock por sesion) y A02 (CAS de aprobaciones) abiertos en la reauditoria de hoy; A03 ya verde (test_dispatcher_rejects_modified_approved_action)
TF19,P2,Contexto intra turno,Validar crecimiento tras herramientas sin duplicar compactacion inicial,A14 A15 con referencias y presupuesto conservados,TF10,Validacion requerida V2,Pendiente: A14/A15 fuera del alcance de este contrato (T1/T2/T3 cubren A01-A07)
TF20,P3,Cancelacion de herramientas,Contexto de cancelacion y estados de efecto incierto,A05 A06 A07 incluidos MCP y Code Mode,TF05;TF11,Propuesto V2,En curso: A05 (unknown_effect de tool-calls), A06 (fencing de leases) y A07 (cancelacion transitiva) abiertos en la reauditoria de hoy y asignados a T2/T3
TF21,P2,Artefactos y eventos,Reconciliar persistencia dump y evento con limpieza de huerfanos,A12 A13 sin referencia perdida tras corte,TF06,Propuesto V2,Pendiente: A12/A13 fuera del alcance de este contrato
TF22,P4,Promocion atomica,CAS de revision y contratos tipados de skills,A26 A27 A28 A30 sin activar cambios parciales,TF13,Propuesto V2,Pendiente: A26-A30 fuera del alcance de este contrato
TF23,P3,Identidad de servicio,Scopes y revocacion para automatizacion,A22 A23 contra identidades reales,TF12,Propuesto V2,Pendiente: A22/A23 fuera del alcance de este contrato
TF24,P0,Contabilidad completa,Attempt ledger y manifiesto de celdas esperadas,A32 A33 incluidos fallos y consumo desconocido,TF01,Propuesto V2,Pendiente: A32/A33 fuera del alcance de este contrato; scripts/acceptance_run.py (este lote) ya registra cost_status/total_cost por caso como paso previo
TF25,P1,Consumidor externo,Prueba de paquete SDK UI y recorrido contra backend real,A20 A21 sin imports internos ni fake como unica evidencia,TF02;TF03,Propuesto V2,No iniciado: depende de TF02/TF03
TF26,P4,Bootstrap seguro,Importacion versionada idempotente con compatibilidad,Reimportar snapshot no duplica ni resucita contenido retirado,TF08;TF13,Propuesto V2,No iniciado
